word,part,definition,graphemes
flihed,i.,i. ging zhlut ji. ging qvq ji. luwux qwq hezte qvq ji. akudep z vk xihuhesh luwux qwq ji. ging akudep ji. kka ging zhlut ji.,f li he d
flihh,i.,i. zucjch bzui z yra beba el yrs lela ishl. subt fgah aozh xhjr fgah.,f li hh
flisgin,i.,i. tair lela uku ginger ji. l bebak z yras yras dkdg lpubul yras asj f lela. guo z yras yras dkdg aa guo z yras yras klu. uku ginger shtu. ging ginger ubva o ging ginger lisu.,f li s g in
fpicj,i.,i. ezugad l ppicj ji. vk jar hjter je kyin. kjar ee zbug el jel tehu. l iblug je belu. je vk uku chdut vt uku ladut yrs lela tla el je bezu.,f p i cj
fpligt,i.,i. vx ktap z je je blit axuax iligt ahk je rak. kat yras axuax lela lqa. kat yras belu axuax lela blit. vk utu lela ezugad yras ktap hji.,f p li g t
fqalel,i.,i. qahh lela iji. uxaux lela ginger ji. qahh ee juya f l shlap du lela ji. qahh lela yk hji. juya yras z lela iji. juya el qvq ji am qwq hji f yras ji.,f qa le l
frebl,i.,i. je kauin ging cxs lpu. lpupl btebr yra cxs lpu. ladut ee l sxqa btebr bteb. vs ladut ee l sxqa juya guerg rah. l kaish kauin ging kytu. subtat yra kytu.,f re b l
frra,i.,i. guo du lela dkdg. elau xihuhesh aie ee guo dkdg. hut teer guo teer aie hhg. am wzu cxhht z ash guo kadu. ja ji apu dyt el lela gerra kyso.,f r ra
frycx,i.,i. yamte ler gerysh bcx. yl yre kat gezin o etu l uku el lela vztu. yl ysi yra ji apu el yra tky lpupl vs ginger ee giduh yra f xihuhesh ji bpu el yra tky. yl yamte ginger ee giduh kytu in chtu lpu belu el yra tky.,f r y cx
fsa,e.,e. vs ju yra hhk yra uxi beba.,f s a
fsgin,i.,i. vt spu ging ji el ginger kap lqa. am l thg ging ji. sxi uxaux ging ahk ginger vda kat xigin.,f s g in
fsiaih,i.,i. l wux qahh keka pu. xzt l wux l gatira keka o l wux vk qahh f l brye keka. ahk qahh kytu bpu. sxi taar kyin el gudih ahk qahh kyso pu. law z zucjch el sxi taar gudih kyin ji pu. sxi taar gudih ja ji pu. sxi taar gudih kyin el ja je aok ji.,f si ai h
fsjipu,i.,i. uxipu sjip ji. wax z utu lela yra kadu. sjip z cji ahk tta lela klu. sage sjip z uku lela ji.,f sj i pu
fszinl,i.,i. dest zint o kauin ging beba spu. sxresh l zint ji. lela dyt el dew ahk yra sxresh ew. xzt jel o sxi uxauxf zine ehg axuaxf ging dkdg. xzt kauin ging hhk dyt o vh subtate vk ysi zint el yra chsiv.,f s z in l
ftage,i.,i. tair yk ju lela du lela taga. lef ahk lela asj am yk ju lela ahk taga. kat l pip asj l taga ahg.,f ta ge
ftazra,i.,i. lava gta shg yre lela yk dkdg aa vh begai yra yk jajije.,f ta z ra
ftqal,i.,i. kakauka cxtqal ji vx je in ju lela. kat kakauka ja ji vx je in ju lela.,f t qa l
fturaq,i.,i. kakauka jaraq kakauka axdacj dkdg. am siuai taber el yrs jaraq kaoee. siuaa axuax yra iji vh yrs l siuai.,f tu ra q
fubin,i.,i. kauin ging bpu. kauin ging ehu xhmt ging hji. hmt ehu kauin ging ji. yer hutl ahg je bteb. fyuinl ee fcxinl ee frebl ee fszinl.,f u b in
fuerih,i.,i. sxi taar gudih kyin kyso gpu. xzt beba leda ji aa ginger yras rik o gudih gudih z leda ji el ginger ishl pu. xzt tae o suerr gudih ji.,f u er i h
fukadcx,i.,i. rali hucher lela asx. sxi rali el rali hucher ahk l kakauka kyso. sxi cxzl el cxzl hucher ahk l kakauka kyso.,f u ka d cx
fupul,i.,i. dust fakpul tuk o olla lpubl puel je dkdg. dher kat puel z je o je yre lela asj. puel z ja ee puel z je f bsxju ash ji.,f u pu l
futah,i.,i. utal qahh ji. qahh z je ahk tta lela dkdg. lavit qahh ji am juya hji. yra lela ahk juya ji vhsut lpubul ju lela ahk ju vhsut.,f u ta h
fuxa,e.,e. sxzu kakauka vs suba ishl yra ji kka kyin f akudep.,f ux a
fuxder,i.,i. etabu je ji. jel aozh hezi ee uligt je dkdg. hezi ee iligt zpu. xzt ratazu je ji o vk ja ee je ee guerg zail blit o vk gerg z je zail blit o ahk je juex. taer jel ji am qlat gudde. ratazee kyin el jel gudde f zkehu ji. yl yre dest vk ja ee je zail blit o oley gerg z je ji. yl ysi vk gerg vh taer oexin zail blit. wder je ahg.,f ux de r
fuxga,i.,i. l wux bpu. l wux ja keka pu. guo l wux xyt. ging ahk guo shlp. laf ahk guo kzin. guo z cji je dkdg o ykai z gudih guo z je ji. kka l wux bpu.,f ux ga
fvqw,i.,i. qvq qwq kyin lpu. yra ahk yk lela kyso kat akudep lela dkdg.,f v q w
fxiagin,i.,i. xikag xigin dsiu. kat ash o kagin. kat aie o utal shlp. algin yra utal l shlp ji. ging ahk ginger kyin. l kyin z ginger gubeli ahg.,f x i a g in
fyage,i.,i. yamte ler gebr beba. gerysh ee gerra ee gezin. uxauxf hutl yras ji. frycx ee frra ee fzin sxi uxaux bteb kadu.,f y a ge
fykig,i.,i. ahj olg hji. yra lela olg kap tky. hutl z ladut yk ahk olg pdep. lpupl yre lela ee ginger f yre xyki olg yk ji.,f y k i g
fyuinl,i.,i. kauin ging kyin lpu. yl yre ler lizu tta ging yra ji. vx jel lela dule. yl ysi ler uxaux zuf z ging ji am axuaxf du ging ji. vx jel lela zint. lpubal hut xkaka.,f y u in l
fzin,i.,i. ginger ji bpu el gezin kedu. lpubul ginger eji bpu yra kedu.,f z in
fzuig,i.,i. azui z evamt ypu. xzt subtet ji o gudih giduh ji. xzt subtat ji o du lela lavit beba.,f zu i g
gaeif,sj.,sj. btebr bteb f heze.,ga ei f
gaga,sj.,sj. yre ler xihuhesh z gzugit in gudih in l bebak ahk bteb f yre gege.,ga ga
gaing,sj.,sj. kxat f ging.,ga in g
gaink,sj.,sj. l xkaka tjuk f ging.,ga in k
gaint,sj.,sj. subt shg lisuvai shlap.,ga in t
gakzu,sj.,sj. thg kytu in hytu el uxaux ginger ishl f sxresh.,ga k zu
gapuita,sj.,sj. ehg yra gudde f qwq.,ga pu i ta
gat,k.,k. cxhht btep vh hmb in hmd in hjju in kai hjju.,ga t
gatira,k.,k. ja je asj el je bteb o je ja asj el ja bteb. ja ee je pip brye.,ga t i ra
gato,sj.,sj. qrfde hucher yutehe kelio.,ga t o
gazter,sj.,sj. shlup f deda.,ga z te r
gebr,sj.,sj. hgasi in sxresh ahk kyso f ykai. vh cxhht z l dyt kyin.,ge b r
gebrli,sj.,sj. vk zucjch vt alpp uku ginger yre lela tuk.,ge b r li
geder,sj.,sj. ash kxi f yre kakauke z lela.,ge de r
gedhe,sj.,sj. vs je siuaa f geder.,ge d he
gedher,sj.,sj. gedhe f lela.,ge d he r
gega,sj.,sj. axuaxf yra z eguux.,ge ga
gegagu,sj.,sj. subtet yra ji ee subtat ju yra ji f xihuhesh.,ge ga gu
gege,sj.,sj. ubva keka f hucher beax f gega. yre ler in yre l lavit ahk yra deqhm.,ge ge
geib,sj.,sj. eishu kadu f gela.,ge i b
gekaw,sj.,sj. yra kaw gaink in gaint tky. yras shlp aa zucjch tky.,ge ka w
gela,sj.,sj. esjp lela. cxla exiex in uxaux lela shlp.,ge la
gerg,sj.,sj. subtetaf gingih z yre lela.,ge r g
gerra,sj.,sj. hgaxi du ykai z guo z yre lela cji lqa. ezugad yras ji cji ishl el cji lqa.,ge r ra
gerysh,sj.,sj. ahg yre lela kytu f yra f brysh. ahg yre lela rik f cxhht f brysh.,ge r y sh
gezin,sj.,sj. ahk yre lela ishl f zine z pehut.,ge z in
giduh,sj.,sj. ahk yra lela lqa f uku exate.,g i du h
gin,sj.,sj. vh qah lava lela.,g in
ginete,sj.,sj. gtin. aa guerg. aa gerg. aa lah lela.,g in e te
ging,sj.,sj. hucher ahk hucher ji f subtet.,g in g
ginga,e.,e. tta luwux ju ging ee ging ji.,g in ga
ginger,sj.,sj. 1 yrs lela. 2 yra buk f gege.,g in ge r
gingih,sj.,sj. siuai amsht ji o vh siuai yele vzt bebak f uxaux lela deqhm f gega.,g in g i h
ginpu,i.,i. exiex pul ahk pingu axhk. lagat bpu. xihuhesh z lagat ee ginger bpu. xihuhesh z qahh ee lela bpu. qahh juya kyin lpu. qahh ppicj apu. juya erk apu.,g in pu
ginqer,sj.,sj. ja ee je uxi asj f yrs lela.,g in qe r
gintate,k.,k. vk l taer kyin kytu. igf.,g in ta te
glio,e.,e. ginger je rink. taer je ji aa ginger ahk je keka.,g li o
gpu,q.,q. pu gegagu.,g pu
gta,sj.,sj. yre vh ysi f pip asj f lela.,g ta
gtaf,e.,e. cjja axt ju lela kadu kka exiex erisula ju lela ee lela dkdg.,g ta f
gtar,sj.,sj. vh etela gatira.,g ta r
gtin,sj.,sj. pip asj f ysi lela.,g t in
gua,sj.,sj. guo z lada.,gu a
gubeli,sj.,sj. l bebak z gudih.,gu be li
guda,e.,e. law ahk gudde.,gu da
gudda,e.,e. suba gudde.,gu d da
gudde,k.,k. qvq suba yra ji. am heha ehg yra ji.,gu d de
gude,e.,e. cxla ahk uxaux lela kytu.,gu de
gudi,e.,e. yk yre uku pehut ji.,gu d i
gudih,sj.,sj. ginger kadu f sjlup.,gu d i h
guerg,sj.,sj. 1 subtate gingih. 2 subtate gingih z je. yras belu je kagin. yras je sxuk asj.,gu er g
guo,sj.,sj. qrfde l beba z hucher.,gu o
gutiam,sj.,sj. hhdav pji el yra oraux bteb el je kap lqa. am tair yra ji el je brye.,gu t i am
gzg,a.,a. suba lll am olla subb ji.,g z g
gzugit,sj.,sj. yre gingih bebak f yre yele vzt.,g zu g i t
hadu,k.,k. kap kadu.,h a du
halq,e.,e. axuax qahh yk dkdg.,h a l q
hatel,sj.,sj. gerg z je bebak f sjlup. aosiple subteta je bebak f sjlup.,h a te l
hba,hh.,hh. uku ahg f yras dkdg.,h ba
heba,k.,k. kap beba.,he ba
hegt,e.,e. iligt guo dsiu f bett.,he g t
heha,sj.,sj. 1 subb beba f yra. 2 axuaxf yra z cxlia.,he h a
helu,k.,k. kap belu.,he lu
her,e.,e. hezi ee guo ee dkder z ju lela ehg lela dupi f bett.,he r
heze,sj.,sj. tair hezi ji el ahk pdep f qrfde deda.,he z e
hezi,sj.,sj. 1 tair ji el aosiple uxaux lela ishl. 2 taar chge z yre lela ji el aosiple uxaux lela ishl.,he z i
hezl,e.,e. ehu hezi ee guo ee dkder z ju lela suk vx lela lll in gudih xkaka.,he z l
hezp,sj.,sj. vh du kaw putel gudih ji o putel l bebak ji. am l taar ubva lela brye. pul z cji tku ahk pul z giduh tku ew.,he z p
hezt,k.,k. heze pdep.,he z t
hezte,e.,e. ubva hezt.,he z te
hgasi,sj.,sj. l taar in l kauin z hucher.,h ga si
hgaxi,sj.,sj. isiga in xsiga hgasi ji.,h ga x i
hhcx,sj.,sj. idcx rah lpubal dvt f qvq.,hh cx
hhdav,sj.,sj. yra shg kytu yra lela ishl.,hh da v
hhg,k.,k. kap ahg.,hh g
hhgappx,sj.,sj. eguux in agappx. hh kuuee.,hh ga pp x
hhidte,sj.,sj. vh je ykai z ja bebak.,hh i d te
hhk,k.,k. kap ahk.,hh k
hirle,hh.,hh. hhk airlx.,h i r le
hjb,sj.,sj. hmb in kai hmb deqhm.,hj b
hjchai,e.,e. uxaux in axuax el kysi f zuf ji.,hj ch ai
hjd,sj.,sj. hmd in kai hmd deqhm.,hj d
hjezu,sj.,sj. hjuzu z je.,hj e zu
hji,k.,k. kap ji.,hj i
hjira,k.,k. yras suba shlup o subb axht.,hj i ra
hjja,e.,e. 1 axuax erisula vk ja. 2 vk cjje ee eir vt cjja ee air.,hj ja
hjje,e.,e. 1 axuax erisula vk je. 2 vk cjja ee air vt cjje ee eir.,hj je
hjju,sj.,sj. hjje in hjja deqhm.,hj ju
hjk,k.,k. ehu hhk.,hj k
hjlesu,e.,e. sxzu xux je akudep kat zukasu hhk je kyso.,hj le su
hjter,sj.,sj. jipuqr vx ppicj.,hj te r
hjtira,e.,e. uzuini belu je ilain btebe am alpp lpu el je kap lqa.,hj t i ra
hjuzu,sj.,sj. 1 thg hytu f sxresh f gaeif. 2 xsiga ji el gakzu ishl f yras.,hj u zu
hkdg,k.,k. kap dkdg.,h k d g
hkudep,k.,k. kap akudep.,h ku de p
hmb,e.,e. vk cjja vt cjje.,hm b
hmbaao,sj.,sj. xihuhesh z ja ee je f buk. raiko lpu bteb.,hm ba ao
hmd,e.,e. vk air vt eir.,hm d
hmlup,sj.,sj. utu ging hmt ska f sjlup.,hm lu p
hmt,a.,a. sepsi exate hadu. e. xyki ju yra ee yra dkdg. ahk yras ppicj vx xyki.,hm t
hsj,k.,k. kap asj.,h sj
hsxdu,e.,e. xzt gegagu hkdg o bipu ee blih akudep.,h sx du
htu,e.,e. hhk kytu.,h tu
huaho,sj.,sj. l asj hhk je akudep f yre gedher.,hu a h o
huat,e.,e. zju je sxuk asx.,hu a t
hubui,sj.,sj. liu lela ehu dku sxresh kysa.,hu bu i
hucher,sj.,sj. ginger in kai ginger.,hu ch er
hudaw,a.,a. vh ju kaw aa vh kaw bebak.,hu da w
huhesh,sj.,sj. iligt ee ging ee qahh f xihuhesh.,hu he sh
huji,sj.,sj. vk dutu ysi rink f axuaxf ging.,hu ji
hurer,a.,a. uxaux ging kadu. e. uxaux ging dkdg.,hu re r
husj,k.,k. ging tre el plu uxaux vzt chsiv.,hu sj
hut,q.,q. ehut ji.,hu t
hute,e.,e. beba am ginger kap bcx.,hu te
huter,sj.,sj. jipuqr kap vx ppicj.,hu te r
huti,q.,q. ahk uxaux lela vztu.,hu t i
hutl,sj.,sj. vh wux yras yk kyv in fjah. yra l wux.,hu t l
hxtes,sj.,sj. htu ging z laf kyso plu yra. kauin ji el cxla ishl vx jaai jitas.,h x te s
hytu,k.,k. kap kytu.,h y tu
hztl,k.,k. vk yra hezl akudep.,h z t l
iakyd,i.,i. je belu bpu. gta in deqa gedher. hhk je ulio kat aizt subt hji. gta zaxt lpu el ahg je vtek. am yra thg je asj. lpupl l akydep je ahk yra kyso.,i a k y d
ibaax,i.,i. leax ubva je asj. bataam yra ji. guo z yra je asx. aoer z yra je asx. am l hhk yra ji. ehjr yra ji.,i ba ax
ibaer,i.,i. l hhk f lela je inlt asj kat pleh yras ji dust yras ee je utei. yk belu yras atek ee ppicj. am ulio el atek ee ppicj f yre law ee gegagu ji. pbaer.,i ba er
iblug,e.,e. uxauxf blug dkdg. yra sxzu lela tla.,i b lu g
icjch,i.,i. gta je hkdg el hsxdu je akudep f gegagu ji el je ishl vh subteta. am vh subt o zucjch je xhht el je lqa.,i cj ch
idcx,sj.,sj. yra vzti pdep f kyv.,i d cx
idocxl,sj.,sj. yra luwux qwq deqhm. i kuuee.,i d o cx l
iduaxp,i.,i. liaax asx el du jaraq dkdg. hut vx puel liaax z cji yras lela kap asx. dku liaax ahk je asx chley. lpupl du liaax ahk je akydep.,i du ax p
igabl,e.,e. tata z ja je lisuvai kadu.,i ga b l
igebl,e.,e. je apda kap cxs el je akydep.,i ge b l
igf,k.,k. plu sxuk ekin vk kyin.,i g f
iginpu,i.,i. ginpu yra ktap kedu el je cxla bteb. vx ja rik f cxhht lagat rik f cxhht el je kytu. am ja subb je hkdg lpubul zju lpubul dku ehut vs je siuaa geder ji f lela.,i g in pu
igtini,i.,i. vh kakauka taguqr kakauka jitesh ginger dkdg. dust alp taguqr je aik o zkehu eida cxhht hji.,i g t in i
igubl,e.,e. xuk hhg ejlip.,i gu b l
igueg,i.,i. siuaa ahj ee lagat ee ja ji. vt kakauka hutl siuaa pul yamte yras kvin.,i gu e g
iguigu,i.,i. guo guo kap yk ji. cxla ykai z guo cxdau ji. l ppicj cxdau kedu. daiei ee iligt l ppicj kedu. jaraq daiei ee iligt kedu. dest guo z cji bebak o dvt f yra jaraq ji.,i gu i gu
ihjrtl,i.,i. teer guo uku lela belu. teer guo gua ji. am gua utu tru. teer guo xamt guo keka. xzt subtat heba o subtet heba. teer guo lela belu kat xhjr lela hztl.,i hj r t l
ijajeasj,i.,i. pkaer. gegagu aie hji. olla aie je belu am ash je bezu. ja je bezu. je je ji aozh ja. ja subb je chsiv. ja vk tku el ahk vh tta kaw je airlx.,i ja je a sj
ijauxr,i.,i. xzt vt du taguqr uxaux jar je dkdg o jar jar yk ji. ja jar hji. xsiga jel kap pdep. lavit ja ji el jel pdep. wuh yk ja ji. aohh l wux bpu el je kap lqa.,i ja ux r
ijezu,i.,i. l hhk xta ji. vst ash l hhk gta ji. jar xta yk ji. gta hhk xta ji. qlat el eja tku ji am je atek el subb ja chsiv el je lqa.,i je zu
iji,k.,k. ubva ji.,i ji
ilaba,i.,i. qahh juya rik. lpubl juya qahh rik. siuaa ja je rik o je ja rik.,i la ba
iladu,i.,i. dust ja je rik el je bteb o ja ehu suba zju hji. xzt dust qahh juya rik o qahh hhk suba juya ji am qahh yra ji el je chley.,i la du
ilag,i.,i. xlag subb je ji. rahhr je ji. rali guo z gedher je belu. jel aozh rali z guo je dkdg. shg je kshp. rali guo je ahg.,i la g
ilah,i.,i. qahh uzuini ji. huti lela uzuini ji o kusxkusx qahh ji. am qahh uzuini ji. vh qah z je uzuini pdep. je uzuini tacx. ehu ehg jef ulilu. lela uzuini ji am qahh uzuini iji. yra je kap asx aohh qahh yra ji. yra je asx. olla. qahh yra hji. qahh ja ji. vh axuaxf subtate ja yra kyin el je shley. yra je asx.,i la h
ilain,a.,a. akudep kzin.,i la in
ilavja,i.,i. xta heba. ja belu je yk rik el je shg. xta heba. hut deaw je ja xysi lpupul ja je xysi. am ja thg je rik. ja thg je eitek rik.,i la v ja
ilawka,i.,i. sxuk axuax el lela dkdg f vzt ji. gudi l shtu ji. am glio kyin el ahk lef dkdg f vzt kalao. kat l asj. kat ja z yra du lela dkdg.,i la w ka
iley,a.,a. vh oley hgasi.,i le y
iligat,sj.,sj. aitgutea vx cxihutu ji.,i li ga t
iligt,sj.,sj. sxk gato z aizsuda.,i li g t
in,bu.,bu. ju hucher deqhm. tair el subtet ee yra f yin ji.,in
inasi,a.,a. vt hezi. kap vt akudep.,in a si
inlt,hh.,hh. kap qlat.,in l t
invh,a.,a. kytu vs qvq.,in v h
inxh,a.,a. kap invh.,in x h
iolla,i.,i. olla liuzu ja ee je hkdg. ja je iji. je ja iji. lpupl ja z ja je ji o ja z je ja ji. je ja asj el je lqa.,i o l la
iphjr,i.,i. xhjr bpu. tta guo kyin el xhjr ji. juya vh l beak bebak f qahh hjira el xhjr ji. vh zucjch ja kyin el xhjr ji.,i p hj r
ipqe,sj.,sj. je uxaux lela asj f heze.,i p qe
ipuzu,i.,i. kakauka jaraq akydep aa yra jaraq f lela dsiu je kyin el l ppicj z je ji. vx jel ginger ahk je uxauxf dyt.,i pu zu
iqabr,i.,i. sxi kauin vs yl yre ktap yl ysi ktap ji pu. hhk je tuk. l tky z laf je belu. am cji shg je brye. xzt vx yra ktap axuax iligt je rak o ezugad yra ktap ji el shg je brue.,i qa b r
iqahk,i.,i. qlat l iqf ji. yl yre juya aok el ahg chsiv. yl ysi yra vztu. yl yamte chlicx. qahh cxla hhk juya kyin.,i qa h k
iqf,k.,k. qahh igf.,i q f
iracj,e.,e. inlt kytu. sxuk iska ging ji.,i ra cj
irli,a.,a. airli. kap airlx.,i r li
ishl,k.,k. vh qvq yra vztu.,i sh l
isiga,sj.,sj. taar deda ji.,i si ga
isjaei,i.,i. vh gedhe f sjaap uxauxf xlag lela ji. vh sjeep gedher sxk ehu ulilu aa fjah. ja ulilu lpu je kap lqa.,i sj a ei
iska,e.,e. ahk in belu ska.,i s ka
isuiax,i.,i. lpubel duax je asx. dest hatel aiok o dust sxzu ee kakauka zuer je vztu o kakauka el kakauka liaax f lela yk ji el je cxli. sxi rali tta yra ji. sxi rali yk yra lela ji.,i su i ax
itahe,sj.,sj. vk kata ahg je atek.,i ta he
itar,e.,e. aie je bezu am shg je chsiv o ahg je kata o thg je atek aa je subb ja ulio el je lqa.,i ta r
itgin,i.,i. thg gin kadu. xzt gedher yra hji xzt l hhk lef ji o thg gin kadu. kat ley gin ji. vst ley ginger heba.,i t g in
ituk,i.,i. ezugad el cxsi lela tuk ji. vs je siuaa geder apu ji el ahg je lqa. gedher juya ji. gta z je qahh ji.,i tu k
iutxx,i.,i. utu sjlup aka kzin. dew uxaux in axuax ji. dew vk laf xxx ji am vk yra zint. kka gudih kauin ging zbax.,i u t x x
iuxlvai,i.,i. ja ee je uxi cht. ja ee je uxi husj. ja ee je uxi brye. ja ee je uxi atek. lpubal ja ee je uxi xhjr.,i ux l v ai
ja,cj.,cj. pdepr beax.,ja
jaai,e.,e. vh her osh.,ja ai
jahh,e.,e. kap cjdahh.,ja hh
jahuzu,sj.,sj. ykai z zhlut ja ji.,ja hu zu
jajija,sj.,sj. ja ja iji. ja ahk tta lela prat.,ja ji ja
jajije,k.,k. aie kytu.,ja ji je
jakch,k.,k. ppicj vh uku l beak.,ja k ch
jakuz,sj.,sj. uzuini subb shg je tacx. yra suba je asx el je tare. gta z je yra ji el je chley.,ja ku z
jar,sj.,sj. 1 vx yra tair gudih ji ahk je akudep o je asj f lela. 2 yra ktap ktap f lela.,ja r
jaraq,sj.,sj. jitesh ee jitas ee jitu.,ja ra q
jatao,e.,e. ja lisu ja ji.,ja ta o
jater,e.,e. hgasi z yater dkdg.,ja te r
jauje,sj.,sj. jazah ja ee je ji.,ja u je
jazah,e.,e. asj f lela akydep. aokasx ja akydep.,ja z a h
je,cj.,cj. btebr beax.,je
jef,cj.,cj. wux je kadu f lef.,je f
jegt,e.,e. vh hegt osh.,je g t
jehuzu,sj.,sj. ykai z ladut je ji.,je hu zu
jel,cj.,cj. subteta eeluz deqhm.,je l
jelig,e.,e. vx hut ruk el hezl je hkudep. taar subt ktap gudde el yk ahg je tky.,je li g
jeqr,sj.,sj. vx yra ahk lela airli f deda.,je qr
ji,k.,k. 1 beba. 2 qrexzt deqhm.,ji
jidak,sj.,sj. l xaxaxa ahk ugay f lela.,ji da k
jikai,k.,k. gudih kytu aozh beak aa igf.,ji ka i
jipuqr,sj.,sj. ahk duta f yra.,ji pu qr
jitas,sj.,sj. taar ji el vh wux uxaux lela ishl.,ji ta s
jitesh,sj.,sj. vh yra sjlup ee vzt lela cxla kytu f gazter z kyv.,ji te sh
jitu,sj.,sj. vh yra sjlup ee vzt lela asj f gazter z yater.,ji tu
ju,hh.,hh. 1 kap yra am yra deqhm f gega. 2 kytu kytu f vk yra beax. 3 yutehe shlp deqhm.,ju
juchsj,e.,e. ging xyt am heba. hezte yra ging hji.,ju ch sj
jueju,i.,i. vst airlx ppicj el l igf hji. am shlap.,ju ej u
juer,sj.,sj. cxsi uku juya.,ju er
juex,k.,k. l ju aiqr aa l ju aiqr aa l aiqr lisuvai rik.,ju ex
jupu,sj.,sj. plahe cxsuv lap heba xzt apda belu lela cxs. etela ee gingih ee gubeli dyt aozh uku apda tuk.,ju pu
juya,sj.,sj. yra vx rqada.,ju y a
juzcxy,i.,i. l beak ktap hji. iligt hji. je hji. zhlut ja hji. law hji. giduh z je hji. zucjch z l beak z je spu je kap lqa am vst ja f oley je akudep. gta z je gta z je ji. ja gta hji. tata ja ji. tata z je hji lpubl tata z dku lela. sxuk jahh yra ja ji. cjja osih ee cjje sasih ji. pp.,ju z cx y
kabu,k.,k. yra sjlup yra invh kadu.,ka bu
kad,k.,k. qrexzt lela kytu.,ka d
kadu,k.,k. vh yra ji.,ka du
kagi,k.,k. alp guo kyin.,ka g i
kagin,k.,k. alp guo kyin aa kaqzuli.,ka g in
kahmt,k.,k. xamt luax kyin hudaw.,ka hm t
kai,hh.,hh. uku kakauka ju yra ji deqhm. q. xsiga bteb.,ka i
kaish,k.,k. ladut sub sxresh kyin.,ka i sh
kakakaw,sj.,sj. sxgu z vzt.,ka ka ka w
kakauka,e.,e. ju yra yra hji.,ka ka u ka
kakauke,sj.,sj. vk kakauka f heze.,ka ka u ke
kakaw,sj.,sj. liliax z vzt.,ka ka w
kalao,k.,k. ju yra vk rak aa yra duta.,ka la o
kali,k.,k. yra qah rak.,ka li
kaoee,k.,k. taar yra ji el lela ishl lpubul ju lela.,ka o ee
kap,hh.,hh. xsiga kyv.,ka p
kapu,e.,e. kauin akudep.,ka pu
kaqr,k.,k. yre hutl fjah.,ka qr
kaqzuli,k.,k. qahh pdep aa ju lela kali.,ka q zu li
kat,bu.,bu. gegagu deqhm.,ka t
kata,k.,k. iligt rak vx hjter kyin.,ka ta
kato,k.,k. vs gato hhk kelio.,ka t o
kauin,e.,e. 1 axuax ging dkdg. kap taar. 2 exiex axuaxf ging dkdg. kap taar.,ka u in
kaw,sj.,sj. beax z vzt.,ka w
kax,k.,k. tata kauin ging kra.,ka x
kaxs,k.,k. vh lef sepsi hmlup kyso.,ka x s
kaxt,k.,k. xhmt luax kyin hudaw.,ka x t
kazu,k.,k. sxi uxaux uxauxf yra kytu o sxi axuax axuaxf yra kytu.,ka zu
kazuqr,sj.,sj. uxaux lela aiqr f sjlup.,ka zu qr
kedu,k.,k. yra bteb el ji.,ke du
keka,k.,k. aiguux gega rak.,ke ka
kelio,k.,k. 1 axuax lela uxaux lela kuuee. 2 gega in heha uxaux eeluz in kusxkusx xihuhesh kuuee.,ke li o
kesdat,k.,k. qwq suba dkdg am subb hkdg.,ke s da t
kesdet,k.,k. qah suba kadu am subb hadu.,ke s de t
ket,k.,k. vh beax ging shlp.,ke t
kevin,sj.,sj. 1 yra pdepr. ju l ginga je kelio f yra gega. 2 btebr z yra buk f gege.,ke v in
khjla,e.,e. ju yra kytu aa yra kytu. sxzu l kakauka xhg kyv z lef dkdg.,k hj la
kjar,k.,k. sxi uxaux jar vk dkdg.,k ja r
kka,bu.,bu. subtatef sxresh subtetaf gegagu rik deqhm.,k ka
klu,k.,k. ju yra kytu plu yra.,k lu
kovd,k.,k. hhg am belu.,k o v d
kra,k.,k. vk wux vt wax rik.,k ra
kshp,k.,k. guo kzin vx ging shlup.,k sh p
ktap,sj.,sj. vh wux kytu f sjlup. asre kevin kytu f deda. k. ja ukaji el je akydep.,k ta p
ktix,k.,k. kap ezugad tata z ju lela ji el lela vda.,k t i x
kuchej,sj.,sj. kap ishl f ging.,ku ch ej
kud,k.,k. yra dkdg deqhm.,ku d
kudaji,sj.,sj. yra lela je ulilu. uzuini yra ji. eja yra eji je akudep.,ku da ji
kusxkusx,e.,e. kap qrfde.,ku sx ku sx
kuuee,k.,k. axuax gega uxaux gega kelio. aokasx e eguux kuuee.,ku u ee
kvin,k.,k. qlate suba ji am subb hji.,k v in
kxat,k.,k. hmt ska.,k x a t
kxi,k.,k. vs yra xihuhesh dkdg.,k x i
kyao,k.,k. ju yra yra kyin el je kyso.,k y ao
kyin,k.,k. 1 suba hji am subt ji. 2 suba heba am subt beba.,k y in
kysa,k.,k. vh yra yra kysi.,k y s a
kysi,k.,k. subtatef sxresh kytu.,k y si
kyso,k.,k. vk yra kysi.,k y s o
kyta,k.,k. ehu ehg yra gudde kka kytu. hytu aohh ehu ehg yra kap gudde.,k y ta
kytu,k.,k. 1 kyv kysi. 2 kakauka kyso. sj. kyv in sxresh in hgasi kyv f gega. k kuuee.,k y tu
kyv,sj.,sj. lela in deda ahk kytu f kusxkusx deda. k. bteb in pdep.,k y v
kzin,k.,k. axuaxf sjlup uxaux yra kadu.,k z in
kzu,k.,k. taar yra ji ishl o yra zuya klu.,k zu
l,r.,r. sjdr kytu in eguux in agappx kyin. subteta z gega kadu.,l
laba,e.,e. ja je ahg. yra ktap gudde el je ahk ja ew.,la ba
lacx,k.,k. tata yra aik aa yra akydep.,la cx
